   x        Cpi      Cpv        Qi        Qv
 0.0097   -9.828    -7.416     3.247     2.871
 0.0083  -10.447    -7.446     3.336     2.876
 0.0071  -11.316    -7.491     3.457     2.884
 0.0059  -12.273    -7.581     3.584     2.899
 0.0049  -13.067    -7.752     3.686     2.927
 0.0041  -13.574    -8.028     3.750     2.972
 0.0033  -13.778    -8.260     3.775     3.009
 0.0027  -13.783    -8.341     3.776     3.021
 0.0021  -13.630    -8.281     3.757     3.012
 0.0016  -13.365    -8.128     3.724     2.988
 0.0012  -13.047    -7.938     3.684     2.957
 0.0009  -12.850    -7.776     3.659     2.931
 0.0006  -12.828    -7.649     3.656     2.910
 0.0004  -12.056    -7.543     3.556     2.892
 0.0002  -12.018    -7.752     3.551     2.927
 0.0001  -13.899    -8.174     3.790     2.995
 0.0000  -14.818    -8.342     3.901     3.022
 0.0001  -13.544    -7.441     3.746     2.875
 0.0002  -10.454    -5.794     3.337     2.585
 0.0004   -8.752    -4.864     3.086     2.404
 0.0007   -7.993    -4.411     2.966     2.311
 0.0010   -7.795    -4.149     2.934     2.255
 0.0013   -7.312    -3.780     2.854     2.174
 0.0017   -6.638    -3.335     2.738     2.071
 0.0022   -5.955    -2.892     2.615     1.964
 0.0028   -5.317    -2.472     2.494     1.856
 0.0034   -4.687    -2.058     2.368     1.743
 0.0042   -4.014    -1.632     2.226     1.618
 0.0051   -3.299    -1.198     2.063     1.479
 0.0061   -2.593    -0.787     1.888     1.335
 0.0072   -1.968    -0.433     1.717     1.196
 0.0084   -1.452    -0.146     1.562     1.070
 0.0098   -1.043     0.082     1.427     0.958
 0.0113   -0.693     0.274     1.299     0.853
 0.0129   -0.392     0.434     1.179     0.754
 0.0147   -0.139     0.565     1.067     0.661
 0.0167    0.078     0.674     0.960     0.573
 0.0188    0.265     0.764     0.858     0.488
 0.0212    0.425     0.836     0.760     0.407
 0.0239    0.559     0.893     0.666     0.330
 0.0268    0.669     0.936     0.577     0.257
