   x        Cpi      Cpv        Qi        Qv
 0.0097  -12.509    -7.893     3.615     2.950
 0.0083  -13.355    -7.911     3.723     2.953
 0.0071  -14.528    -7.938     3.866     2.957
 0.0059  -15.829    -7.997     4.019     2.967
 0.0049  -16.938    -8.128     4.143     2.988
 0.0041  -17.692    -8.365     4.226     3.025
 0.0033  -18.062    -8.645     4.265     3.069
 0.0027  -18.175    -8.801     4.277     3.093
 0.0021  -18.082    -8.806     4.267     3.094
 0.0016  -17.840    -8.703     4.242     3.078
 0.0012  -17.524    -8.554     4.207     3.055
 0.0009  -17.367    -8.431     4.190     3.036
 0.0006  -17.447    -8.349     4.199     3.023
 0.0004  -16.509    -8.298     4.096     3.015
 0.0002  -16.560    -8.548     4.101     3.054
 0.0001  -19.256    -9.009     4.391     3.125
 0.0000  -20.672    -9.235     4.534     3.159
 0.0001  -19.049    -8.299     4.369     3.015
 0.0002  -14.859    -6.526     3.906     2.718
 0.0004  -12.578    -5.531     3.624     2.535
 0.0007  -11.605    -5.056     3.496     2.443
 0.0010  -11.425    -4.792     3.471     2.390
 0.0013  -10.841    -4.408     3.391     2.310
 0.0017   -9.978    -3.936     3.269     2.209
 0.0022   -9.093    -3.462     3.138     2.101
 0.0028   -8.262    -3.010     3.009     1.993
 0.0034   -7.435    -2.562     2.874     1.880
 0.0042   -6.528    -2.093     2.719     1.753
 0.0051   -5.542    -1.610     2.537     1.611
 0.0061   -4.546    -1.146     2.339     1.462
 0.0072   -3.654    -0.742     2.145     1.318
 0.0084   -2.911    -0.413     1.969     1.188
 0.0098   -2.321    -0.149     1.815     1.072
 0.0113   -1.809     0.074     1.671     0.962
 0.0129   -1.365     0.262     1.534     0.860
 0.0147   -0.988     0.419     1.407     0.763
 0.0167   -0.659     0.551     1.286     0.672
 0.0188   -0.370     0.661     1.170     0.584
 0.0212   -0.118     0.753     1.057     0.500
 0.0239    0.099     0.827     0.950     0.419
 0.0268    0.281     0.885     0.849     0.343
 0.0300    0.435     0.930     0.753     0.270
 0.0336    0.566     0.963     0.660     0.200
 0.0375    0.676     0.985     0.571     0.132
 0.0419    0.766     0.998     0.486     0.067
 0.0467    0.839     1.002     0.404     0.006
 0.0520    0.895     1.000     0.327    -0.052
 0.0576    0.937     0.991     0.256    -0.107
 0.0637    0.967     0.977     0.188    -0.159
 0.0701    0.987     0.960     0.126    -0.206
 0.0768    0.998     0.940     0.069    -0.250
 0.0838    1.002     0.917     0.016    -0.292
 0.0910    1.001     0.894    -0.033    -0.330
 0.0984    0.996     0.870    -0.078    -0.365
 0.1058    0.988     0.845    -0.119    -0.397
 0.1134    0.978     0.820    -0.157    -0.427
 0.1210    0.966     0.796    -0.192    -0.455
 0.1288    0.952     0.772    -0.225    -0.480
 0.1365    0.938     0.748    -0.255    -0.504
 0.1444    0.922     0.725    -0.283    -0.527
 0.1522    0.907     0.702    -0.309    -0.548
 0.1601    0.891     0.680    -0.334    -0.568
