   x        Cpi      Cpv        Qi        Qv
 0.6219   -0.230    -0.281     1.109     1.131
 0.6137   -0.240    -0.285     1.113     1.133
 0.6055   -0.250    -0.290     1.117     1.135
 0.5973   -0.259    -0.294     1.121     1.137
 0.5892   -0.268    -0.298     1.125     1.139
 0.5810   -0.277    -0.303     1.129     1.141
 0.5728   -0.286    -0.308     1.133     1.143
 0.5646   -0.295    -0.313     1.137     1.145
 0.5564   -0.304    -0.319     1.141     1.148
 0.5482   -0.314    -0.325     1.145     1.150
 0.5401   -0.323    -0.331     1.149     1.153
 0.5319   -0.332    -0.337     1.153     1.156
 0.5237   -0.341    -0.344     1.157     1.159
 0.5156   -0.351    -0.352     1.161     1.162
 0.5074   -0.360    -0.359     1.165     1.165
 0.4993   -0.369    -0.367     1.169     1.168
 0.4911   -0.377    -0.375     1.173     1.172
 0.4830   -0.386    -0.383     1.176     1.175
 0.4748   -0.395    -0.391     1.180     1.178
 0.4667   -0.403    -0.399     1.183     1.182
 0.4586   -0.411    -0.407     1.187     1.185
 0.4505   -0.419    -0.415     1.190     1.188
 0.4424   -0.427    -0.422     1.194     1.191
 0.4343   -0.435    -0.429     1.197     1.194
 0.4262   -0.442    -0.435     1.200     1.197
 0.4182   -0.448    -0.441     1.202     1.199
 0.4101   -0.454    -0.446     1.205     1.201
 0.4021   -0.458    -0.450     1.206     1.203
 0.3940   -0.460    -0.452     1.207     1.204
 0.3860   -0.460    -0.453     1.207     1.204
 0.3779   -0.459    -0.453     1.207     1.204
 0.3698   -0.457    -0.452     1.206     1.204
 0.3618   -0.455    -0.450     1.205     1.203
 0.3537   -0.452    -0.448     1.204     1.202
 0.3456   -0.450    -0.446     1.203     1.201
 0.3375   -0.447    -0.444     1.202     1.200
 0.3294   -0.444    -0.441     1.200     1.199
 0.3212   -0.441    -0.439     1.199     1.198
 0.3131   -0.438    -0.436     1.198     1.197
 0.3050   -0.435    -0.434     1.197     1.196
 0.2969   -0.432    -0.431     1.196     1.195
 0.2888   -0.429    -0.428     1.194     1.194
 0.2807   -0.426    -0.425     1.193     1.193
 0.2726   -0.423    -0.423     1.192     1.192
 0.2645   -0.420    -0.420     1.191     1.190
 0.2564   -0.417    -0.417     1.189     1.189
 0.2483   -0.414    -0.414     1.188     1.188
 0.2402   -0.411    -0.411     1.187     1.187
 0.2321   -0.408    -0.408     1.186     1.186
 0.2241   -0.405    -0.405     1.184     1.184
 0.2160   -0.401    -0.401     1.183     1.183
 0.2080   -0.398    -0.397     1.181     1.181
 0.2000   -0.394    -0.393     1.179     1.179
 0.1920   -0.389    -0.389     1.178     1.178
 0.1840   -0.385    -0.385     1.176     1.176
 0.1760   -0.380    -0.380     1.174     1.174
 0.1681   -0.374    -0.374     1.171     1.171
 0.1601   -0.368    -0.369     1.169     1.169
 0.1522   -0.363    -0.364     1.167     1.167
 0.1444   -0.358    -0.358     1.164     1.165
 0.1365   -0.352    -0.353     1.162     1.162
 0.1288   -0.346    -0.347     1.159     1.160
 0.1210   -0.340    -0.340     1.157     1.157
 0.1134   -0.332    -0.332     1.153     1.153
 0.1058   -0.323    -0.323     1.149     1.149
 0.0984   -0.313    -0.313     1.145     1.145
 0.0910   -0.302    -0.302     1.140     1.140
 0.0838   -0.290    -0.291     1.135     1.135
 0.0768   -0.278    -0.279     1.130     1.130
 0.0701   -0.267    -0.268     1.125     1.125
 0.0637   -0.256    -0.256     1.120     1.120
 0.0576   -0.244    -0.244     1.115     1.115
 0.0519   -0.229    -0.230     1.108     1.108
 0.0466   -0.216    -0.217     1.102     1.102
 0.0418   -0.202    -0.202     1.096     1.096
 0.0375   -0.185    -0.184     1.088     1.088
 0.0335   -0.165    -0.163     1.079     1.078
 0.0299   -0.142    -0.141     1.068     1.068
 0.0267   -0.118    -0.118     1.057     1.057
 0.0237   -0.095    -0.095     1.046     1.046
 0.0211   -0.073    -0.072     1.036     1.035
 0.0187   -0.049    -0.047     1.024     1.023
 0.0165   -0.020    -0.018     1.010     1.009
 0.0146    0.013     0.016     0.993     0.992
 0.0128    0.050     0.051     0.975     0.974
 0.0111    0.085     0.088     0.957     0.955
 0.0097    0.126     0.129     0.935     0.933
 0.0083    0.172     0.171     0.910     0.911
 0.0071    0.209     0.210     0.890     0.889
 0.0059    0.253     0.258     0.865     0.862
 0.0049    0.315     0.322     0.828     0.824
 0.0041    0.396     0.403     0.778     0.774
 0.0033    0.488     0.493     0.717     0.713
 0.0027    0.581     0.585     0.649     0.646
 0.0021    0.669     0.672     0.578     0.575
 0.0016    0.748     0.751     0.504     0.502
 0.0012    0.817     0.819     0.430     0.429
 0.0009    0.874     0.874     0.359     0.358
 0.0006    0.919     0.920     0.288     0.287
 0.0004    0.958     0.958     0.212     0.211
 0.0002    0.982     0.982     0.144     0.144
 0.0001    0.997     0.997     0.076     0.075
 0.0000    1.002     1.002    -0.010    -0.010
 0.0001    0.993     0.993    -0.100    -0.099
 0.0002    0.974     0.974    -0.169    -0.170
 0.0004    0.949     0.949    -0.231    -0.230
 0.0007    0.915     0.915    -0.296    -0.295
 0.0010    0.863     0.865    -0.373    -0.370
 0.0013    0.801     0.803    -0.449    -0.447
 0.0017    0.731     0.733    -0.521    -0.519
 0.0022    0.653     0.656    -0.591    -0.588
 0.0028    0.566     0.571    -0.660    -0.657
 0.0034    0.473     0.478    -0.727    -0.723
 0.0042    0.382     0.388    -0.787    -0.783
 0.0051    0.305     0.311    -0.835    -0.831
 0.0061    0.248     0.251    -0.868    -0.866
 0.0072    0.205     0.206    -0.892    -0.892
 0.0084    0.166     0.167    -0.913    -0.913
 0.0098    0.122     0.125    -0.937    -0.936
 0.0113    0.083     0.085    -0.958    -0.957
 0.0129    0.047     0.049    -0.976    -0.975
 0.0147    0.011     0.013    -0.995    -0.993
 0.0167   -0.023    -0.020    -1.011    -1.010
 0.0188   -0.051    -0.049    -1.025    -1.024
 0.0212   -0.075    -0.074    -1.037    -1.036
 0.0239   -0.095    -0.096    -1.046    -1.046
 0.0268   -0.119    -0.118    -1.057    -1.057
 0.0300   -0.143    -0.142    -1.069    -1.068
 0.0336   -0.165    -0.164    -1.079    -1.078
 0.0375   -0.185    -0.184    -1.088    -1.088
 0.0419   -0.203    -0.202    -1.096    -1.096
 0.0467   -0.217    -0.217    -1.102    -1.103
 0.0520   -0.229    -0.230    -1.108    -1.109
 0.0576   -0.243    -0.244    -1.114    -1.115
 0.0637   -0.256    -0.256    -1.120    -1.120
 0.0701   -0.267    -0.268    -1.125    -1.125
 0.0768   -0.278    -0.279    -1.130    -1.130
 0.0838   -0.290    -0.291    -1.135    -1.135
 0.0910   -0.302    -0.302    -1.140    -1.140
 0.0984   -0.313    -0.313    -1.145    -1.145
 0.1058   -0.323    -0.323    -1.149    -1.149
 0.1134   -0.332    -0.332    -1.153    -1.153
 0.1210   -0.340    -0.340    -1.157    -1.157
 0.1288   -0.346    -0.347    -1.159    -1.160
 0.1365   -0.352    -0.353    -1.162    -1.162
 0.1444   -0.358    -0.358    -1.164    -1.165
 0.1522   -0.363    -0.364    -1.167    -1.167
 0.1601   -0.368    -0.369    -1.169    -1.169
 0.1681   -0.374    -0.374    -1.171    -1.171
 0.1760   -0.380    -0.380    -1.174    -1.174
 0.1840   -0.385    -0.385    -1.176    -1.176
 0.1920   -0.389    -0.389    -1.178    -1.178
 0.2000   -0.394    -0.394    -1.180    -1.179
 0.2080   -0.398    -0.398    -1.181    -1.181
 0.2160   -0.401    -0.401    -1.183    -1.183
 0.2241   -0.405    -0.405    -1.184    -1.184
 0.2321   -0.408    -0.408    -1.186    -1.185
 0.2402   -0.411    -0.411    -1.187    -1.187
 0.2483   -0.414    -0.414    -1.188    -1.188
 0.2564   -0.417    -0.417    -1.189    -1.189
 0.2645   -0.420    -0.420    -1.191    -1.190
 0.2726   -0.423    -0.423    -1.192    -1.192
 0.2807   -0.426    -0.425    -1.193    -1.193
 0.2888   -0.429    -0.428    -1.194    -1.194
 0.2969   -0.432    -0.431    -1.196    -1.195
 0.3050   -0.435    -0.433    -1.197    -1.196
 0.3131   -0.438    -0.436    -1.198    -1.197
 0.3213   -0.441    -0.439    -1.199    -1.198
 0.3294   -0.444    -0.441    -1.200    -1.199
 0.3375   -0.447    -0.444    -1.202    -1.200
 0.3456   -0.450    -0.446    -1.203    -1.201
 0.3537   -0.452    -0.448    -1.204    -1.202
 0.3618   -0.455    -0.450    -1.205    -1.203
 0.3698   -0.457    -0.452    -1.206    -1.204
 0.3779   -0.459    -0.453    -1.207    -1.204
 0.3860   -0.460    -0.453    -1.207    -1.204
 0.3940   -0.460    -0.452    -1.207    -1.204
 0.4021   -0.458    -0.450    -1.206    -1.203
 0.4101   -0.454    -0.446    -1.205    -1.201
 0.4182   -0.449    -0.441    -1.202    -1.199
 0.4262   -0.442    -0.435    -1.200    -1.197
 0.4343   -0.435    -0.429    -1.197    -1.194
 0.4424   -0.427    -0.422    -1.193    -1.191
 0.4505   -0.419    -0.414    -1.190    -1.188
 0.4586   -0.411    -0.407    -1.187    -1.185
 0.4667   -0.403    -0.399    -1.183    -1.182
 0.4749   -0.395    -0.391    -1.180    -1.178
 0.4830   -0.386    -0.383    -1.176    -1.175
 0.4911   -0.377    -0.375    -1.173    -1.172
 0.4993   -0.369    -0.367    -1.169    -1.168
 0.5074   -0.360    -0.359    -1.165    -1.165
 0.5156   -0.351    -0.352    -1.161    -1.162
 0.5237   -0.341    -0.344    -1.157    -1.159
 0.5319   -0.332    -0.337    -1.153    -1.156
 0.5401   -0.323    -0.331    -1.149    -1.153
 0.5482   -0.314    -0.325    -1.145    -1.150
 0.5564   -0.304    -0.319    -1.141    -1.148
 0.5646   -0.295    -0.313    -1.137    -1.145
 0.5728   -0.286    -0.308    -1.133    -1.143
 0.5810   -0.277    -0.303    -1.129    -1.141
 0.5892   -0.268    -0.298    -1.125    -1.139
 0.5973   -0.259    -0.294    -1.121    -1.137
 0.6055   -0.249    -0.290    -1.117    -1.135
 0.6137   -0.240    -0.285    -1.113    -1.133
 0.6219   -0.230    -0.281    -1.109    -1.131
 0.6301   -0.221    -0.277    -1.104    -1.130
 0.6383   -0.211    -0.274    -1.100    -1.128
 0.6465   -0.201    -0.270    -1.096    -1.126
 0.6547   -0.191    -0.266    -1.091    -1.124
 0.6629   -0.182    -0.258    -1.087    -1.121
 0.6712   -0.172    -0.192    -1.082    -1.091
 0.6794   -0.162    -0.143    -1.077    -1.069
 0.6876   -0.152    -0.115    -1.073    -1.056
 0.6958   -0.141    -0.101    -1.068    -1.049
 0.7041   -0.131    -0.093    -1.063    -1.045
 0.7123   -0.120    -0.087    -1.058    -1.042
 0.7206   -0.110    -0.081    -1.053    -1.039
 0.7288   -0.100    -0.075    -1.048    -1.036
 0.7371   -0.089    -0.068    -1.043    -1.033
 0.7454   -0.079    -0.061    -1.039    -1.030
 0.7537   -0.070    -0.054    -1.034    -1.026
 0.7620   -0.060    -0.047    -1.030    -1.023
 0.7702   -0.052    -0.040    -1.025    -1.020
 0.7785   -0.043    -0.032    -1.021    -1.016
 0.7868   -0.034    -0.025    -1.017    -1.012
 0.7951   -0.026    -0.018    -1.013    -1.009
 0.8034   -0.018    -0.011    -1.009    -1.005
 0.8117   -0.009    -0.003    -1.005    -1.002
 0.8200   -0.001     0.004    -1.001    -0.998
 0.8284    0.007     0.011    -0.997    -0.994
 0.8367    0.015     0.019    -0.992    -0.991
 0.8450    0.024     0.027    -0.988    -0.987
 0.8533    0.032     0.035    -0.984    -0.983
 0.8616    0.041     0.043    -0.980    -0.979
 0.8699    0.049     0.051    -0.975    -0.974
 0.8782    0.058     0.059    -0.971    -0.970
 0.8865    0.068     0.068    -0.966    -0.966
 0.8947    0.077     0.077    -0.961    -0.961
 0.9030    0.087     0.087    -0.956    -0.956
 0.9113    0.098     0.097    -0.950    -0.951
 0.9196    0.109     0.107    -0.944    -0.945
 0.9278    0.121     0.118    -0.938    -0.939
 0.9360    0.133     0.130    -0.931    -0.933
 0.9442    0.147     0.143    -0.924    -0.926
 0.9523    0.162     0.157    -0.916    -0.919
 0.9602    0.179     0.172    -0.906    -0.911
 0.9680    0.198     0.188    -0.896    -0.902
 0.9756    0.221     0.206    -0.883    -0.892
 0.9828    0.249     0.225    -0.867    -0.881
 0.9897    0.287     0.246    -0.845    -0.869
 0.9961    0.340     0.268    -0.813    -0.856
 1.0000    0.523     0.283    -0.692    -0.847


