   x        Cpi      Cpv        Qi        Qv
 1.0000    0.523     0.283     0.692     0.847
 0.9961    0.340     0.268     0.813     0.856
 0.9897    0.287     0.246     0.845     0.869
 0.9828    0.249     0.225     0.867     0.881
 0.9756    0.221     0.206     0.883     0.892
 0.9680    0.198     0.188     0.896     0.902
 0.9602    0.179     0.172     0.906     0.911
 0.9523    0.162     0.157     0.916     0.919
 0.9442    0.147     0.143     0.924     0.926
 0.9360    0.133     0.130     0.931     0.933
 0.9278    0.121     0.118     0.938     0.939
 0.9196    0.109     0.107     0.944     0.945
 0.9113    0.098     0.097     0.950     0.951
 0.9030    0.087     0.087     0.956     0.956
 0.8947    0.077     0.077     0.961     0.961
 0.8865    0.068     0.068     0.966     0.966
 0.8782    0.058     0.059     0.971     0.970
 0.8699    0.049     0.051     0.975     0.974
 0.8616    0.041     0.043     0.980     0.979
 0.8533    0.032     0.034     0.984     0.983
 0.8450    0.024     0.027     0.988     0.987
 0.8367    0.015     0.019     0.992     0.991
 0.8283    0.007     0.011     0.997     0.994
 0.8200   -0.001     0.004     1.001     0.998
 0.8117   -0.009    -0.003     1.005     1.002
 0.8034   -0.018    -0.011     1.009     1.005
 0.7951   -0.026    -0.018     1.013     1.009
 0.7868   -0.034    -0.025     1.017     1.012
 0.7785   -0.043    -0.032     1.021     1.016
 0.7702   -0.052    -0.040     1.025     1.020
 0.7619   -0.061    -0.047     1.030     1.023
 0.7537   -0.070    -0.054     1.034     1.026
 0.7454   -0.079    -0.061     1.039     1.030
 0.7371   -0.089    -0.068     1.043     1.033
 0.7288   -0.100    -0.075     1.048     1.036
 0.7206   -0.110    -0.081     1.053     1.039
 0.7123   -0.120    -0.087     1.058     1.042
 0.7041   -0.131    -0.093     1.063     1.045
 0.6958   -0.141    -0.101     1.068     1.049
 0.6876   -0.151    -0.115     1.073     1.056
 0.6794   -0.162    -0.143     1.077     1.069
 0.6712   -0.172    -0.192     1.082     1.091
 0.6629   -0.182    -0.258     1.087     1.121
 0.6547   -0.192    -0.266     1.091     1.124
 0.6465   -0.201    -0.270     1.096     1.126
 0.6383   -0.211    -0.274     1.100     1.128
 0.6301   -0.221    -0.277     1.104     1.130
