;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-0.000;0.000048;0.006831;0.000000;-0.000035;-0.000020;0.6660;0.6657;0.5663;0.0000
-0.6087;0.2391;-0.001;0.000099;0.006657;0.000000;-0.000083;-0.000058;0.6608;0.6602;0.4723;0.0000
-0.5702;0.2400;-0.001;0.000139;0.006651;0.000000;-0.000094;-0.000059;0.6605;0.6599;0.4701;0.0001
-0.5178;0.2400;-0.001;0.000167;0.006651;0.000000;-0.000101;-0.000059;0.6605;0.6599;0.4702;0.0002
-0.4525;0.2400;-0.001;0.000187;0.006651;0.000000;-0.000106;-0.000059;0.6605;0.6599;0.4702;0.0007
-0.3762;0.2400;-0.001;0.000201;0.006651;0.000000;-0.000110;-0.000059;0.6605;0.6599;0.4702;0.0016
-0.2906;0.2400;-0.001;0.000210;0.006651;0.000000;-0.000112;-0.000060;0.6605;0.6599;0.4703;0.0031
-0.1978;0.2400;-0.001;0.000216;0.006651;0.000000;-0.000114;-0.000060;0.6605;0.6599;0.4703;0.0053
-0.1001;0.2400;-0.000;0.000220;0.006651;0.000000;-0.000115;-0.000060;0.6605;0.6599;0.4703;0.0084
-0.0000;0.2400;-0.000;0.000221;0.006651;0.000000;-0.000115;-0.000060;0.6605;0.6599;0.4703;0.0123
0.1001;0.2400;-0.000;0.000220;0.006651;0.000000;-0.000115;-0.000060;0.6605;0.6599;0.4703;0.0084
0.1978;0.2400;-0.001;0.000216;0.006651;0.000000;-0.000114;-0.000060;0.6605;0.6599;0.4703;0.0053
0.2906;0.2400;-0.001;0.000210;0.006651;0.000000;-0.000112;-0.000060;0.6605;0.6599;0.4703;0.0031
0.3762;0.2400;-0.001;0.000201;0.006651;0.000000;-0.000110;-0.000059;0.6605;0.6599;0.4702;0.0016
0.4525;0.2400;-0.001;0.000187;0.006651;0.000000;-0.000106;-0.000059;0.6605;0.6599;0.4702;0.0007
0.5178;0.2400;-0.001;0.000167;0.006651;0.000000;-0.000101;-0.000059;0.6605;0.6599;0.4702;0.0002
0.5702;0.2400;-0.001;0.000139;0.006651;0.000000;-0.000094;-0.000059;0.6605;0.6599;0.4701;0.0001
0.6087;0.2391;-0.001;0.000099;0.006657;0.000000;-0.000083;-0.000058;0.6608;0.6602;0.4723;0.0000
0.6321;0.2205;-0.000;0.000048;0.006831;0.000000;-0.000035;-0.000020;0.6660;0.6657;0.5663;0.0000
