;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-12.682;0.374358;0.007104;0.082860;-0.117081;-0.000387;0.5532;0.7568;0.2450;0.0000
-0.6087;0.2391;-9.992;0.628991;0.011055;0.109692;-0.152922;0.006409;0.0718;0.8496;0.2318;0.0446
-0.5702;0.2400;-7.883;0.836180;0.014450;0.115052;-0.199374;0.010167;0.0241;0.9786;0.2278;0.3806
-0.5178;0.2400;-6.186;0.976384;0.018284;0.105421;-0.229206;0.015469;0.0182;10.000;0.2222;15.434
-0.4525;0.2400;-4.659;1.057.222;0.023484;0.085963;-0.240009;0.024924;0.0164;10.000;0.2122;43.113
-0.3762;0.2400;-3.633;1.101.987;0.028732;0.069876;-0.246775;0.029375;0.0156;10.000;0.2073;95.695
-0.2906;0.2400;-2.948;1.125.280;0.033088;0.057891;-0.249948;0.032039;0.0151;10.000;0.2043;181.631
-0.1978;0.2400;-2.533;1.137.088;0.036110;0.050276;-0.251933;0.033014;0.0149;10.000;0.2030;307.618
-0.1001;0.2400;-2.325;1.143.035;0.037632;0.046376;-0.252933;0.033504;0.0148;10.000;0.2023;477.536
-0.0000;0.2400;-2.261;1.144.863;0.038099;0.045169;-0.253240;0.033655;0.0148;10.000;0.2021;691.683
0.1001;0.2400;-2.325;1.143.035;0.037632;0.046376;-0.252933;0.033504;0.0148;10.000;0.2023;477.536
0.1978;0.2400;-2.533;1.137.088;0.036110;0.050276;-0.251933;0.033014;0.0149;10.000;0.2030;307.618
0.2906;0.2400;-2.948;1.125.280;0.033088;0.057891;-0.249948;0.032039;0.0151;10.000;0.2043;181.631
0.3762;0.2400;-3.633;1.101.987;0.028732;0.069876;-0.246775;0.029375;0.0156;10.000;0.2073;95.695
0.4525;0.2400;-4.659;1.057.222;0.023484;0.085963;-0.240009;0.024924;0.0164;10.000;0.2122;43.113
0.5178;0.2400;-6.186;0.976384;0.018284;0.105421;-0.229206;0.015469;0.0182;10.000;0.2222;15.434
0.5702;0.2400;-7.883;0.836180;0.014450;0.115052;-0.199374;0.010167;0.0241;0.9786;0.2278;0.3806
0.6087;0.2391;-9.992;0.628991;0.011055;0.109692;-0.152922;0.006409;0.0718;0.8496;0.2318;0.0446
0.6321;0.2205;-12.682;0.374358;0.007104;0.082860;-0.117081;-0.000387;0.5532;0.7568;0.2450;0.0000
