;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-9.433;0.290937;0.006993;0.047898;-0.091296;-0.000606;0.5890;0.7347;0.2464;0.0000
-0.6087;0.2391;-7.544;0.491445;0.007926;0.064703;-0.123284;0.001205;0.3879;0.7877;0.2411;0.0346
-0.5702;0.2400;-5.718;0.654962;0.011442;0.065362;-0.156981;0.007148;0.0632;0.8660;0.2309;0.2969
-0.5178;0.2400;-4.477;0.774887;0.013377;0.060546;-0.184284;0.009897;0.0325;0.9444;0.2279;12.064
-0.4525;0.2400;-3.670;0.861205;0.014908;0.055168;-0.206392;0.009420;0.0231;0.9837;0.2287;33.865
-0.3762;0.2400;-3.162;0.920934;0.016002;0.050817;-0.223142;0.007638;0.0205;0.9961;0.2309;75.824
-0.2906;0.2400;-2.664;0.954979;0.017149;0.044397;-0.228769;0.010543;0.0191;10.000;0.2277;145.416
-0.1978;0.2400;-2.288;0.971845;0.018043;0.038801;-0.229114;0.014424;0.0184;10.000;0.2234;248.720
-0.1001;0.2400;-2.100;0.980272;0.018490;0.035921;-0.229286;0.016364;0.0181;10.000;0.2212;389.341
-0.0000;0.2400;-2.042;0.982870;0.018628;0.035022;-0.229339;0.016962;0.0180;10.000;0.2205;567.764
0.1001;0.2400;-2.100;0.980272;0.018490;0.035921;-0.229286;0.016364;0.0181;10.000;0.2212;389.341
0.1978;0.2400;-2.288;0.971845;0.018043;0.038801;-0.229114;0.014424;0.0184;10.000;0.2234;248.720
0.2906;0.2400;-2.664;0.954979;0.017149;0.044397;-0.228769;0.010543;0.0191;10.000;0.2277;145.416
0.3762;0.2400;-3.162;0.920934;0.016002;0.050817;-0.223142;0.007638;0.0205;0.9961;0.2309;75.824
0.4525;0.2400;-3.670;0.861205;0.014908;0.055168;-0.206392;0.009420;0.0231;0.9837;0.2287;33.865
0.5178;0.2400;-4.477;0.774887;0.013377;0.060546;-0.184284;0.009897;0.0325;0.9444;0.2279;12.064
0.5702;0.2400;-5.718;0.654962;0.011442;0.065362;-0.156981;0.007148;0.0632;0.8660;0.2309;0.2969
0.6087;0.2391;-7.544;0.491445;0.007926;0.064703;-0.123284;0.001205;0.3879;0.7877;0.2411;0.0346
0.6321;0.2205;-9.433;0.290937;0.006993;0.047898;-0.091296;-0.000606;0.5890;0.7347;0.2464;0.0000
