;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-4.687;0.149712;0.006876;0.012247;-0.047214;-0.000546;0.6337;0.6997;0.2484;0.0000
-0.6087;0.2391;-3.760;0.254326;0.006786;0.016690;-0.065096;-0.000673;0.5973;0.7199;0.2471;0.0178
-0.5702;0.2400;-2.971;0.342435;0.006868;0.017758;-0.086365;-0.000553;0.5607;0.7428;0.2457;0.1534
-0.5178;0.2400;-2.365;0.407448;0.007188;0.016817;-0.102172;-0.000069;0.5037;0.7612;0.2442;0.6267
-0.4525;0.2400;-1.928;0.453380;0.007485;0.015257;-0.113199;0.000415;0.4539;0.7748;0.2429;17.671
-0.3762;0.2400;-1.600;0.484488;0.007964;0.013528;-0.120118;0.001291;0.3836;0.7860;0.2410;39.673
-0.2906;0.2400;-1.381;0.505216;0.008283;0.012178;-0.124729;0.001875;0.3367;0.7935;0.2397;76.204
-0.1978;0.2400;-1.242;0.518376;0.008486;0.011239;-0.127656;0.002246;0.3070;0.7982;0.2389;130.547
-0.1001;0.2400;-1.165;0.525655;0.008598;0.010692;-0.129275;0.002451;0.2905;0.8009;0.2384;204.753
-0.0000;0.2400;-1.141;0.527986;0.008634;0.010513;-0.129793;0.002516;0.2853;0.8017;0.2383;299.201
0.1001;0.2400;-1.165;0.525655;0.008598;0.010692;-0.129275;0.002451;0.2905;0.8009;0.2384;204.753
0.1978;0.2400;-1.242;0.518376;0.008486;0.011239;-0.127656;0.002246;0.3070;0.7982;0.2389;130.547
0.2906;0.2400;-1.381;0.505216;0.008283;0.012178;-0.124729;0.001875;0.3367;0.7935;0.2397;76.204
0.3762;0.2400;-1.600;0.484488;0.007964;0.013528;-0.120118;0.001291;0.3836;0.7860;0.2410;39.673
0.4525;0.2400;-1.928;0.453380;0.007485;0.015257;-0.113199;0.000415;0.4539;0.7748;0.2429;17.671
0.5178;0.2400;-2.365;0.407448;0.007188;0.016817;-0.102172;-0.000069;0.5037;0.7612;0.2442;0.6267
0.5702;0.2400;-2.971;0.342435;0.006868;0.017758;-0.086365;-0.000553;0.5607;0.7428;0.2457;0.1534
0.6087;0.2391;-3.760;0.254326;0.006786;0.016690;-0.065096;-0.000673;0.5973;0.7199;0.2471;0.0178
0.6321;0.2205;-4.687;0.149712;0.006876;0.012247;-0.047214;-0.000546;0.6337;0.6997;0.2484;0.0000
