;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-11.046;0.334166;0.007041;0.064421;-0.104693;-0.000528;0.5715;0.7458;0.2457;0.0000
-0.6087;0.2391;-8.751;0.563026;0.009386;0.085992;-0.138858;0.003763;0.2104;0.8174;0.2361;0.0398
-0.5702;0.2400;-6.724;0.750162;0.012949;0.088042;-0.178440;0.009545;0.0366;0.9282;0.2282;0.3404
-0.5178;0.2400;-5.459;0.885969;0.015361;0.084419;-0.213337;0.008682;0.0220;0.9889;0.2296;13.824
-0.4525;0.2400;-4.294;0.971544;0.018027;0.072816;-0.229107;0.014355;0.0184;10.000;0.2234;38.777
-0.3762;0.2400;-3.359;1.020.542;0.020799;0.059826;-0.234509;0.021232;0.0171;10.000;0.2160;86.532
-0.2906;0.2400;-2.802;1.050.254;0.022846;0.051354;-0.238909;0.024278;0.0165;10.000;0.2128;165.062
-0.1978;0.2400;-2.451;1.067.377;0.024415;0.045651;-0.241612;0.025865;0.0162;10.000;0.2112;280.833
-0.1001;0.2400;-2.266;1.076.366;0.025239;0.042573;-0.243032;0.026699;0.0160;10.000;0.2103;437.711
-0.0000;0.2400;-2.208;1.079.189;0.025497;0.041595;-0.243477;0.026961;0.0160;10.000;0.2100;636.159
0.1001;0.2400;-2.266;1.076.366;0.025239;0.042573;-0.243032;0.026699;0.0160;10.000;0.2103;437.711
0.1978;0.2400;-2.451;1.067.377;0.024415;0.045651;-0.241612;0.025865;0.0162;10.000;0.2112;280.833
0.2906;0.2400;-2.802;1.050.254;0.022846;0.051354;-0.238909;0.024278;0.0165;10.000;0.2128;165.062
0.3762;0.2400;-3.359;1.020.542;0.020799;0.059826;-0.234509;0.021232;0.0171;10.000;0.2160;86.532
0.4525;0.2400;-4.294;0.971544;0.018027;0.072816;-0.229107;0.014355;0.0184;10.000;0.2234;38.777
0.5178;0.2400;-5.459;0.885969;0.015361;0.084419;-0.213337;0.008682;0.0220;0.9889;0.2296;13.824
0.5702;0.2400;-6.724;0.750162;0.012949;0.088042;-0.178440;0.009545;0.0366;0.9282;0.2282;0.3404
0.6087;0.2391;-8.751;0.563026;0.009386;0.085992;-0.138858;0.003763;0.2104;0.8174;0.2361;0.0398
0.6321;0.2205;-11.046;0.334166;0.007041;0.064421;-0.104693;-0.000528;0.5715;0.7458;0.2457;0.0000
