;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-3.120;0.100563;0.006851;0.005475;-0.031761;-0.000414;0.6452;0.6882;0.2867;0.0000
-0.6087;0.2391;-2.500;0.170976;0.006715;0.007459;-0.043913;-0.000603;0.6226;0.6994;0.2483;0.0120
-0.5702;0.2400;-1.973;0.230572;0.006754;0.007939;-0.058488;-0.000708;0.6066;0.7134;0.2475;0.1031
-0.5178;0.2400;-1.575;0.275064;0.006795;0.007561;-0.069583;-0.000654;0.5889;0.7250;0.2468;0.4216
-0.4525;0.2400;-1.289;0.307089;0.006824;0.006906;-0.077570;-0.000615;0.5762;0.7334;0.2463;11.901
-0.3762;0.2400;-1.087;0.329619;0.006844;0.006254;-0.083188;-0.000588;0.5672;0.7393;0.2459;26.759
-0.2906;0.2400;-0.948;0.344938;0.006881;0.005707;-0.086973;-0.000534;0.5585;0.7435;0.2456;51.488
-0.1978;0.2400;-0.857;0.354723;0.006929;0.005304;-0.089353;-0.000461;0.5499;0.7462;0.2454;88.359
-0.1001;0.2400;-0.806;0.360169;0.006955;0.005066;-0.090677;-0.000421;0.5451;0.7478;0.2453;138.807
-0.0000;0.2400;-0.790;0.361919;0.006964;0.004987;-0.091102;-0.000408;0.5436;0.7483;0.2452;203.114
0.1001;0.2400;-0.806;0.360169;0.006955;0.005066;-0.090677;-0.000421;0.5451;0.7478;0.2453;138.807
0.1978;0.2400;-0.857;0.354723;0.006929;0.005304;-0.089353;-0.000461;0.5499;0.7462;0.2454;88.359
0.2906;0.2400;-0.948;0.344938;0.006881;0.005707;-0.086973;-0.000534;0.5585;0.7435;0.2456;51.488
0.3762;0.2400;-1.087;0.329619;0.006844;0.006254;-0.083188;-0.000588;0.5672;0.7393;0.2459;26.759
0.4525;0.2400;-1.289;0.307089;0.006824;0.006906;-0.077570;-0.000615;0.5762;0.7334;0.2463;11.901
0.5178;0.2400;-1.575;0.275064;0.006795;0.007561;-0.069583;-0.000654;0.5889;0.7250;0.2468;0.4216
0.5702;0.2400;-1.973;0.230572;0.006754;0.007939;-0.058488;-0.000708;0.6066;0.7134;0.2475;0.1031
0.6087;0.2391;-2.500;0.170976;0.006715;0.007459;-0.043913;-0.000603;0.6226;0.6994;0.2483;0.0120
0.6321;0.2205;-3.120;0.100563;0.006851;0.005475;-0.031761;-0.000414;0.6452;0.6882;0.2867;0.0000
