;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-7.852;0.244210;0.006942;0.033466;-0.076814;-0.000690;0.6080;0.7227;0.2473;0.0000
-0.6087;0.2391;-6.328;0.413396;0.007064;0.045655;-0.105047;-0.000330;0.5198;0.7620;0.2446;0.0291
-0.5702;0.2400;-4.878;0.551916;0.009106;0.046993;-0.134993;0.003314;0.2328;0.8117;0.2368;0.2496
-0.5178;0.2400;-3.759;0.651129;0.011384;0.042713;-0.156134;0.007034;0.0645;0.8635;0.2311;10.153
-0.4525;0.2400;-3.015;0.721248;0.012453;0.037951;-0.171628;0.009112;0.0415;0.9092;0.2285;28.491
-0.3762;0.2400;-2.522;0.770389;0.013299;0.033909;-0.183221;0.009833;0.0333;0.9415;0.2279;63.724
-0.2906;0.2400;-2.188;0.803739;0.013875;0.030692;-0.191104;0.010308;0.0278;0.9634;0.2275;122.090
-0.1978;0.2400;-1.976;0.825291;0.014251;0.028466;-0.196320;0.010492;0.0246;0.9763;0.2274;208.811
-0.1001;0.2400;-1.870;0.837763;0.014479;0.027343;-0.199818;0.010120;0.0241;0.9789;0.2278;327.169
-0.0000;0.2400;-1.835;0.841829;0.014553;0.026967;-0.200958;0.009999;0.0239;0.9797;0.2280;477.788
0.1001;0.2400;-1.870;0.837763;0.014479;0.027343;-0.199818;0.010120;0.0241;0.9789;0.2278;327.169
0.1978;0.2400;-1.976;0.825291;0.014251;0.028466;-0.196320;0.010492;0.0246;0.9763;0.2274;208.811
0.2906;0.2400;-2.188;0.803739;0.013875;0.030692;-0.191104;0.010308;0.0278;0.9634;0.2275;122.090
0.3762;0.2400;-2.522;0.770389;0.013299;0.033909;-0.183221;0.009833;0.0333;0.9415;0.2279;63.724
0.4525;0.2400;-3.015;0.721248;0.012453;0.037951;-0.171628;0.009112;0.0415;0.9092;0.2285;28.491
0.5178;0.2400;-3.759;0.651129;0.011384;0.042713;-0.156134;0.007034;0.0645;0.8635;0.2311;10.153
0.5702;0.2400;-4.878;0.551916;0.009106;0.046993;-0.134993;0.003314;0.2328;0.8117;0.2368;0.2496
0.6087;0.2391;-6.328;0.413396;0.007064;0.045655;-0.105047;-0.000330;0.5198;0.7620;0.2446;0.0291
0.6321;0.2205;-7.852;0.244210;0.006942;0.033466;-0.076814;-0.000690;0.6080;0.7227;0.2473;0.0000
